Air Quality Station EoI Code,Longitude,Latitude,geometry,state,district,town_city
DENW067,8.5484,52.0232,POINT (8.5484 52.0232),Nordrhein-Westfalen,Bielefeld,Bielefeld
DESN012,12.3376,51.5302,POINT (12.3376 51.5302),Sachsen,Nordsachsen,Delitzsch
DENI074,9.367,52.104,POINT (9.367 52.104),Niedersachsen,Hameln-Pyrmont,Hameln
DEST052,11.5114,51.6422,POINT (11.5114 51.6422),Sachsen-Anhalt,Mansfeld-Südharz,Hettstedt
DEST071,11.3004,51.4784,POINT (11.3004 51.4784),Sachsen-Anhalt,Mansfeld-Südharz,Sangerhausen
DENW002,7.3314,51.6414,POINT (7.3314 51.6414),Nordrhein-Westfalen,Recklinghausen,Datteln
DESN005,12.3848,51.2003,POINT (12.3848 51.2003),Sachsen,Leipzig,Böhlen
DENW112,6.7719,51.4377,POINT (6.7719 51.4377),Nordrhein-Westfalen,Duisburg,Duisburg
DESN025,12.3772,51.3442,POINT (12.3772 51.3442),Sachsen,Leipzig (Kreisfreie Stadt),Leipzig
DENW079,7.005,51.0289,POINT (7.005 51.0289),Nordrhein-Westfalen,Leverkusen,Leverkusen
DESN004,14.4438,51.1757,POINT (14.4438 51.1757),Sachsen,Bautzen,Bautzen
DESN075,12.1381,50.4861,POINT (12.1381 50.4861),Sachsen,Vogtlandkreis,Plauen
DEST057,11.6426,52.1034,POINT (11.6426 52.1034),Sachsen-Anhalt,Magdeburg,Magdeburg
DENW024,6.981,51.4965,POINT (6.981 51.4965),Nordrhein-Westfalen,Essen,Essen
DENW143,6.551,50.9359,POINT (6.551 50.9359),Nordrhein-Westfalen,Rhein-Erft-Kreis,Elsdorf
DEST090,12.0321,51.3214,POINT (12.0321 51.3214),Sachsen-Anhalt,Saalekreis,Leuna
DENW026,7.0928,51.4556,POINT (7.0928 51.4556),Nordrhein-Westfalen,Essen,Essen
DEST074,11.9725,51.4378,POINT (11.9725 51.4378),Sachsen-Anhalt,Halle (Saale),Halle (Saale)
DENW036,6.6482,51.4595,POINT (6.6482 51.4595),Nordrhein-Westfalen,Wesel,Moers
DESN034,13.3373,50.6616,POINT (13.3373 50.6616),Sachsen,Erzgebirgskreis,Olbernhau
DENW095,7.6116,51.9365,POINT (7.6116 51.9365),Nordrhein-Westfalen,Münster,Münster
DENW034,6.7484,51.524,POINT (6.7484 51.524),Nordrhein-Westfalen,Duisburg,Duisburg
DEST066,12.6637,51.8709,POINT (12.6637 51.8709),Sachsen-Anhalt,Wittenberg,Wittenberg
DEST089,11.1723,52.5931,POINT (11.1723 52.5931),Sachsen-Anhalt,Altmarkkreis Salzwedel,Klötze
DESN059,12.2974,51.3179,POINT (12.2974 51.3179),Sachsen,Leipzig (Kreisfreie Stadt),Leipzig
DESN045,14.8228,50.8924,POINT (14.8228 50.8924),Sachsen,Görlitz,Zittau
DETH031,10.6932,50.6115,POINT (10.6932 50.6115),Thüringen,Suhl,Suhl
DENW028,6.966,51.4065,POINT (6.966 51.4065),Nordrhein-Westfalen,Essen,Essen
DENW081,6.8745,51.862,POINT (6.8745 51.862),Nordrhein-Westfalen,Borken,Borken
DENW046,6.8556,51.2329,POINT (6.8556 51.2329),Nordrhein-Westfalen,Düsseldorf,Düsseldorf
DENW077,7.4761,51.3609,POINT (7.4761 51.3609),Nordrhein-Westfalen,Hagen,Hagen
DENW047,6.6939,51.1826,POINT (6.6939 51.1826),Nordrhein-Westfalen,Rhein-Kreis Neuss,Neuss
DEST028,12.1413,51.0546,POINT (12.1413 51.0546),Sachsen-Anhalt,Burgenlandkreis,Zeitz
DESN024,12.4687,50.3548,POINT (12.4687 50.3548),Sachsen,Vogtlandkreis,Klingenthal
DEBE044,13.4089,52.5168,POINT (13.4089 52.5168),Berlin,Berlin,Berlin
DEBW073,7.568,47.819,POINT (7.568 47.819),Baden-Württemberg,Breisgau-Hochschwarzwald,Neuenburg am Rhein
DEBW083,7.8549,47.9997,POINT (7.8549 47.9997),Baden-Württemberg,Freiburg im Breisgau,Freiburg im Breisgau
DEBE064,13.434,52.4817,POINT (13.434 52.4817),Berlin,Berlin,Berlin
