Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;SPD;PDS;FDP;GRÜNE;NPD;PBC;Agrarb�ndnis;AfR;AMB;AU;AJL;Bv-L�ndlicher Raum;Bv;B�ndnis 90;BBLR;BFR;BfB;BfS;BB UER;BG;BMV;BUMV;GRAUE;Die Sozialen;ok;FORUM;Freie W�hlergemeinschaft;F-UER;HGR;MUG;RB;SAV;UWG Bansin;UWG Tramm;WG Bauernverband;Bauern;WGGM;WGK;WGLR;WG Prohn;"WG ""Rettet Prerow""";UR;WG Wittenhagen;Einzelbewerber
A;51;Bad Doberan;5114;Neubukow-Salzhaff;13051062;Rerik, Stadt;4;4;2052;1248;60,8;105;3569;938;1933;508;51;44;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;11;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;84
P;51;Bad Doberan;5114;Neubukow-Salzhaff;13051062;Rerik, Stadt;4;4;2052;1248;60,8;2,9;97,1;26,3;54,2;14,2;1,4;1,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2,4
A;51;Bad Doberan;5114;Neubukow-Salzhaff;13051087;Am Salzhaff;2;2;428;333;77,8;63;914;395;249;86;13;32;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;35;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;104
P;51;Bad Doberan;5114;Neubukow-Salzhaff;13051087;Am Salzhaff;2;2;428;333;77,8;6,4;93,6;43,2;27,2;9,4;1,4;3,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;11,4
A;51;Bad Doberan;5114;Neubukow-Salzhaff;13051088;Carinerland;4;4;935;625;66,8;117;1721;805;222;202;126;27;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;25;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;314
P;51;Bad Doberan;5114;Neubukow-Salzhaff;13051088;Carinerland;4;4;935;625;66,8;6,4;93,6;46,8;12,9;11,7;7,3;1,6;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;18,2
A;51;Bad Doberan;5115;Rostocker Heide;13051009;Bentwisch;2;2;2027;928;45,8;46;2555;1018;569;462;208;154;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;64;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;80
P;51;Bad Doberan;5115;Rostocker Heide;13051009;Bentwisch;2;2;2027;928;45,8;1,8;98,2;39,8;22,3;18,1;8,1;6;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3,1
A;51;Bad Doberan;5115;Rostocker Heide;13051011;Blankenhagen;1;1;734;427;58,2;27;1189;678;200;144;116;30;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;11;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;10
P;51;Bad Doberan;5115;Rostocker Heide;13051011;Blankenhagen;1;1;734;427;58,2;2,2;97,8;57;16,8;12,1;9,8;2,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,8
