Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Normalized Pollution Level
DEBB126,NO2,2025,8.568,ug/m3,Traffic,Urban,BB,Oberhavel,Oranienburg,0.19603950315618
DEBB067,NO2,2023,9.226,ug/m3,Background,Suburban,BB,Havelland,Nauen,0.19282591237619348
DEBE065,NO2,2018,37.489,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.5147343734067502
DEBE065,NO2,2024,23.061,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.5194706455368386
DEBB021,NO2,2018,16.456,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.2083497210447348
DEBB021,NO2,2023,10.89,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.2299455697332025
DEBE056,NO2,2020,9.415,ug/m3,Background,Rural,BE,Berlin,Berlin,0.15172778029274178
DEBE056,NO2,2024,6.883,ug/m3,Background,Rural,BE,Berlin,Berlin,0.13509468032027372
DEBB064,NO2,2017,13.334,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.14819053632740045
DEBB064,NO2,2024,8.571,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.17520017106607427
DEBE027,NO2,2013,15.281,ug/m3,Background,Rural,BE,Berlin,Berlin,0.14755519593110625
DEBB073,NO2,2023,20.836,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.45181582939234405
DEBE027,NO2,2024,7.622,ug/m3,Background,Rural,BE,Berlin,Berlin,0.15265271211005252
DEBB112,NO2,2023,11.269,ug/m3,Background,Suburban,BB,Dahme-Spreewald,Wildau,0.2384001070759347
DEBB044,NO2,2016,31.179,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.3650136006447713
DEBB044,NO2,2022,21.781,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.42957879493798395
DEBB064,NO2,2018,12.478,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.15040277352911186
DEBE064,NO2,2020,36.243,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.6577636939791761
DEBB045,NO2,2014,33.241,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder),0.35529962503202367
DEBB112,NO2,2025,6.977,ug/m3,Background,Suburban,BB,Dahme-Spreewald,Wildau,0.15554367745876604
DEBB083,NO2,2019,8.589,ug/m3,Background,Suburban,BB,Spree-Neiße,Spremberg,0.11210953513158975
DEBB083,NO2,2025,4.659,ug/m3,Background,Suburban,BB,Spree-Neiße,Spremberg,0.09654347383424963
DEBB049,NO2,2023,16.037,ug/m3,Traffic,Urban,BB,Brandenburg an der Havel,Brandenburg an der Havel,0.34476220219505666
DEBB045,NO2,2022,27.607,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder),0.5518478876786501
DEBB032,NO2,2013,13.083,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.12214772858629061
DEBB032,NO2,2014,11.424,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.10124135361110463
DEBB032,NO2,2018,11.66,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.13848708648341562
DEBB032,NO2,2024,6.576,ug/m3,Industrial,Suburban,BB,Oder-Spree,Eisenhüttenstadt,0.12780061298676612
