Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Normalized Pollution Level
DEBW004,PM10,2014,16.909,ug/m3,Background,Rural,BW,Karlsruhe,Eggenstein-Leopoldshafen,0.3202493650427153
DEBB021,PM10,2013,19.883,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.3770218545499444
DEBB021,PM10,2017,17.832,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.4633613067103952
DEBB021,PM10,2020,13.053,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.4533840452506339
DEBW010,PM10,2022,12.936,ug/m3,Background,Suburban,BW,Rhein-Neckar-Kreis,Wiesloch,0.3089876639906011
DEBW004,PM10,2021,12.889,ug/m3,Background,Rural,BW,Karlsruhe,Eggenstein-Leopoldshafen,0.3652582159624413
DEBW010,PM10,2013,18.502,ug/m3,Background,Suburban,BW,Rhein-Neckar-Kreis,Wiesloch,0.33439313495493267
DEBW010,PM10,2017,15.99,ug/m3,Background,Suburban,BW,Rhein-Neckar-Kreis,Wiesloch,0.4041349152760362
DEBB021,PM10,2018,19.527,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.5996721823290665
DEBW023,PM10,2015,17.869,ug/m3,Background,Suburban,BW,Lörrach,Weil am Rhein,0.34287766830870275
DEBB053,PM10,2013,17.168,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.2932152117545376
DEBB053,PM10,2021,14.969,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.4540332906530089
DEBB053,PM10,2022,15.052,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.4125709810064617
DEBB045,PM10,2015,26.111,ug/m3,Traffic,Urban,BB,Frankfurt (Oder),Frankfurt (Oder),0.6248289545703338
DEBB053,PM10,2024,13.495,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.21504362178731432
DEBE034,PM10,2015,22.162,ug/m3,Background,Urban,BE,Berlin,Berlin,0.48973727422003277
DEBB021,PM10,2019,16.602,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.5251299106214924
DEBB021,PM10,2025,10.341,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.02068338307836682
DEBW015,PM10,2016,19.671,ug/m3,Background,Urban,BW,Heilbronn (Stadtkreis),Heilbronn,0.41279012507796853
DEBW015,PM10,2025,33.354,ug/m3,Background,Urban,BW,Heilbronn (Stadtkreis),Heilbronn,0.07198058048999044
DEBW015,PM10,2016,19.541,ug/m3,Background,Urban,BW,Heilbronn (Stadtkreis),Heilbronn,0.40852237287022747
DEBW015,PM10,2017,19.988,ug/m3,Background,Urban,BW,Heilbronn (Stadtkreis),Heilbronn,0.5326838365325874
DEBW031,PM10,2015,8.897,ug/m3,Background,Rural,BW,Breisgau-Hochschwarzwald,Staufen-Münstertal,0.03595374931581828
DEBW031,PM10,2018,8.647,ug/m3,Background,Rural,BW,Breisgau-Hochschwarzwald,Staufen-Münstertal,0.17507024664377147
DEBW031,PM10,2020,7.201,ug/m3,Background,Rural,BW,Breisgau-Hochschwarzwald,Staufen-Münstertal,0.16803198751706647
DEBW039,PM10,2016,14.22,ug/m3,Background,Suburban,BW,Schwarzwald-Baar-Kreis,Villingen-Schwenningen,0.23383999212107287
DEBB110,PM10,2023,13.735,ug/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz,0.5069136180417367
DEBW039,PM10,2015,14.559,ug/m3,Background,Suburban,BW,Schwarzwald-Baar-Kreis,Villingen-Schwenningen,0.22964559386973174
DEBB053,PM10,2018,19.262,ug/m3,Background,Rural,BB,Märkisch-Oderland,Märkische Schweiz,0.5893303153293787
DEBB064,PM10,2023,12.594,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.44869636205928876
DEBB064,PM10,2025,9.455,ug/m3,Background,Urban,BB,Cottbus,Cottbus,0.018708442092545827
DEBE065,PM10,2019,23.952,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.8306796923716484
DEBB044,PM10,2013,23.825,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.4987035436473638
DEBB044,PM10,2017,21.806,ug/m3,Traffic,Urban,BB,Cottbus,Cottbus,0.5911385485997236
DEBB029,PM10,2022,15.209,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.4202565106716272
DEBB029,PM10,2025,10.302,ug/m3,Industrial,Suburban,BB,Uckermark,Schwedt/Oder,0.02059645001014219
DEBE068,PM10,2014,25.471,ug/m3,Background,Urban,BE,Berlin,Berlin,0.6026651713560048
DEBE068,PM10,2016,22.032,ug/m3,Background,Urban,BE,Berlin,Berlin,0.4902990709431732
DEBB073,PM10,2023,16.592,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.6526863615490586
DEBE068,PM10,2018,22.718,ug/m3,Background,Urban,BE,Berlin,Berlin,0.7242038713705901
DEBB065,PM10,2022,12.231,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.27447620912473075
DEBB065,PM10,2025,7.364,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.014047492203887022
DEBW010,PM10,2013,17.796,ug/m3,Background,Suburban,BW,Rhein-Neckar-Kreis,Wiesloch,0.3126003210272873
DEBE067,PM10,2013,24.419,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.5170391406346463
DEBB086,PM10,2023,13.441,ug/m3,Background,Suburban,BB,Teltow-Fläming,Blankenfelde-Mahlow,0.49191285269656626
DEBE068,PM10,2013,22.92,ug/m3,Background,Urban,BE,Berlin,Berlin,0.47076799604889497
DEBE068,PM10,2023,16.982,ug/m3,Background,Urban,BE,Berlin,Berlin,0.6725853359865298
