"Ergebnisse der Wahl der Stadtverordnetenversammlungen (SVV) in den kreisfreien Städten
sowie der Wahl der Vertretungen der kreisangehörigen Städte und Gemeinden
am 26. September 2003 im Land Brandenburg",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,LV,Listenvereingung
"Kreisfreie Stadt
bzw.
Landkreis",AGS,Gemeindename,"Wahlberechtigte
insgesamt",Wähler,,Ungültige Stimmzettel,Gültige Stimmen,Sitze,,,Verteilung der gültigen Stimmen und Sitze,,,,,,WG,Wählergemeinschaft
,,,,insgesamt,mit Wahlschein,,,insgesamt,weiblich,"Unions-
bürger",Wahlvorschlagsträger,Art,Stimmen,Sitze,Sitze weiblich,"Sitze
Unions-
bürger",EB,Einzelbewerber
,,,,,,,,,,,,,,,,,PV,Politische Vereinigung
,,,A,B,B1,C,D,E,E1,E2,,,,,,,,
,,,,,,,,,,,,,,,,,,
Märkisch-Oderland    ,12064266,Küstriner Vorland            ,2445,1021,0,50,2866,16,6,x,SPD                      ,PA,268,1,1,x,,
Märkisch-Oderland    ,12064266,Küstriner Vorland            ,2445,1021,0,50,2866,16,6,x,PDS                      ,PA,556,3,2,x,,
Märkisch-Oderland    ,12064266,Küstriner Vorland            ,2445,1021,0,50,2866,16,6,x,Wählergruppen            ,WG,1623,9,2,x,,
Märkisch-Oderland    ,12064266,Küstriner Vorland            ,2445,1021,0,50,2866,16,6,x,Schill                   ,PA,139,1,0,x,,
Märkisch-Oderland    ,12064268,Lebus                        ,2767,1668,0,34,4845,16,5,x,CDU                      ,PA,993,3,3,x,,
Märkisch-Oderland    ,12064268,Lebus                        ,2767,1668,0,34,4845,16,5,x,SPD                      ,PA,1469,5,2,x,,
Märkisch-Oderland    ,12064268,Lebus                        ,2767,1668,0,34,4845,16,5,x,PDS                      ,PA,289,1,0,x,,
Märkisch-Oderland    ,12064268,Lebus                        ,2767,1668,0,34,4845,16,5,x,Wählergruppen            ,WG,1821,6,0,x,,
Märkisch-Oderland    ,12064268,Lebus                        ,2767,1668,0,34,4845,16,5,x,Einzelbewerber           ,EB,132,0,0,x,,
Märkisch-Oderland    ,12064268,Lebus                        ,2767,1668,0,34,4845,16,5,x,Schill                   ,PA,141,1,0,x,,
Märkisch-Oderland    ,12064274,Letschin                     ,4223,2262,120,75,6481,18,4,x,CDU                      ,PA,1708,5,0,x,,
Märkisch-Oderland    ,12064274,Letschin                     ,4223,2262,120,75,6481,18,4,x,SPD                      ,PA,2531,7,3,x,,
Märkisch-Oderland    ,12064274,Letschin                     ,4223,2262,120,75,6481,18,4,x,PDS                      ,PA,320,1,1,x,,
Märkisch-Oderland    ,12064274,Letschin                     ,4223,2262,120,75,6481,18,4,x,Wählergruppen            ,WG,1814,5,0,x,,
Märkisch-Oderland    ,12064274,Letschin                     ,4223,2262,120,75,6481,18,4,x,Einzelbewerber           ,EB,108,0,0,x,,
Märkisch-Oderland    ,12064288,Lietzen                      ,632,396,0,21,1114,10,3,x,CDU                      ,PA,501,4,2,x,,
Märkisch-Oderland    ,12064288,Lietzen                      ,632,396,0,21,1114,10,3,x,SPD                      ,PA,538,5,1,x,,
Märkisch-Oderland    ,12064288,Lietzen                      ,632,396,0,21,1114,10,3,x,Einzelbewerber           ,EB,75,1,0,x,,
Märkisch-Oderland    ,12064290,Lindendorf                   ,1331,849,0,45,2399,12,1,x,CDU                      ,PA,196,1,0,x,,
Märkisch-Oderland    ,12064290,Lindendorf                   ,1331,849,0,45,2399,12,1,x,Wählergruppen            ,WG,1938,10,1,x,,
Märkisch-Oderland    ,12064290,Lindendorf                   ,1331,849,0,45,2399,12,1,x,Einzelbewerber           ,EB,265,1,0,x,,
Märkisch-Oderland    ,12064303,Märkische Höhe               ,564,331,0,18,932,8,3,x,Wählergruppen            ,WG,634,6,3,x,,
Märkisch-Oderland    ,12064303,Märkische Höhe               ,564,331,0,18,932,8,3,x,Einzelbewerber           ,EB,298,2,0,x,,
Märkisch-Oderland    ,12064317,Müncheberg                   ,5977,2857,0,92,8127,18,3,x,CDU                      ,PA,2765,6,0,x,,
Märkisch-Oderland    ,12064317,Müncheberg                   ,5977,2857,0,92,8127,18,3,x,SPD                      ,PA,2221,5,2,x,,
Märkisch-Oderland    ,12064317,Müncheberg                   ,5977,2857,0,92,8127,18,3,x,PDS                      ,PA,1732,4,0,x,,
Märkisch-Oderland    ,12064317,Müncheberg                   ,5977,2857,0,92,8127,18,3,x,Wählergruppen            ,WG,1046,2,1,x,,
Märkisch-Oderland    ,12064317,Müncheberg                   ,5977,2857,0,92,8127,18,3,x,Einzelbewerber           ,EB,84,0,0,x,,
Märkisch-Oderland    ,12064317,Müncheberg                   ,5977,2857,0,92,8127,18,3,x,DVU                      ,PA,279,1,0,x,,
Märkisch-Oderland    ,12064336,Neuenhagen bei Berlin        ,12941,5550,0,45,16496,28,10,x,CDU                      ,PA,4562,8,3,x,,
Märkisch-Oderland    ,12064336,Neuenhagen bei Berlin        ,12941,5550,0,45,16496,28,10,x,SPD                      ,PA,3562,6,2,x,,
Märkisch-Oderland    ,12064336,Neuenhagen bei Berlin        ,12941,5550,0,45,16496,28,10,x,PDS                      ,PA,4188,7,3,x,,
Märkisch-Oderland    ,12064336,Neuenhagen bei Berlin        ,12941,5550,0,45,16496,28,10,x,FDP                      ,PA,1010,2,1,x,,
Märkisch-Oderland    ,12064336,Neuenhagen bei Berlin        ,12941,5550,0,45,16496,28,10,x,GRÜNE/B 90               ,PA,1002,1,0,x,,
Märkisch-Oderland    ,12064336,Neuenhagen bei Berlin        ,12941,5550,0,45,16496,28,10,x,Wählergruppen            ,WG,2172,4,1,x,,
Märkisch-Oderland    ,12064340,Neuhardenberg                ,2343,1065,0,44,3018,16,4,x,CDU                      ,PA,507,3,1,x,,
Märkisch-Oderland    ,12064340,Neuhardenberg                ,2343,1065,0,44,3018,16,4,x,PDS                      ,PA,1487,8,2,x,,
Märkisch-Oderland    ,12064340,Neuhardenberg                ,2343,1065,0,44,3018,16,4,x,Wählergruppen            ,WG,810,4,1,x,,
Märkisch-Oderland    ,12064340,Neuhardenberg                ,2343,1065,0,44,3018,16,4,x,Einzelbewerber           ,EB,214,1,0,x,,
Märkisch-Oderland    ,12064349,Neulewin                     ,911,564,0,17,1625,10,3,x,Wählergruppen            ,WG,1625,10,3,x,,
Märkisch-Oderland    ,12064365,Neutrebbin                   ,1369,793,0,27,2272,12,2,x,CDU                      ,PA,448,2,1,x,,
Märkisch-Oderland    ,12064365,Neutrebbin                   ,1369,793,0,27,2272,12,2,x,PDS                      ,PA,124,1,0,x,,
Märkisch-Oderland    ,12064365,Neutrebbin                   ,1369,793,0,27,2272,12,2,x,Wählergruppen            ,WG,988,5,0,x,,
Märkisch-Oderland    ,12064365,Neutrebbin                   ,1369,793,0,27,2272,12,2,x,Einzelbewerber           ,EB,683,4,1,x,,
Märkisch-Oderland    ,12064365,Neutrebbin                   ,1369,793,0,27,2272,12,2,x,Schill                   ,PA,29,0,0,x,,
Märkisch-Oderland    ,12064370,Oberbarnim                   ,1187,698,0,21,1985,15,4,x,Wählergruppen            ,WG,1901,15,4,x,,
Märkisch-Oderland    ,12064370,Oberbarnim                   ,1187,698,0,21,1985,15,4,x,Einzelbewerber           ,EB,84,0,0,x,,
Märkisch-Oderland    ,12064371,Oderaue                      ,1547,1018,0,19,2978,12,2,x,CDU                      ,PA,1085,4,1,x,,
Märkisch-Oderland    ,12064371,Oderaue                      ,1547,1018,0,19,2978,12,2,x,Wählergruppen            ,WG,1893,8,1,x,,
Märkisch-Oderland    ,12064380,Petershagen/Eggersdorf       ,10480,5027,544,110,14670,22,5,x,CDU                      ,PA,2375,3,1,x,,
Märkisch-Oderland    ,12064380,Petershagen/Eggersdorf       ,10480,5027,544,110,14670,22,5,x,SPD                      ,PA,1298,2,1,x,,
Märkisch-Oderland    ,12064380,Petershagen/Eggersdorf       ,10480,5027,544,110,14670,22,5,x,PDS                      ,PA,3112,5,1,x,,
Märkisch-Oderland    ,12064380,Petershagen/Eggersdorf       ,10480,5027,544,110,14670,22,5,x,FDP                      ,PA,541,1,0,x,,
Märkisch-Oderland    ,12064380,Petershagen/Eggersdorf       ,10480,5027,544,110,14670,22,5,x,Wählergruppen            ,WG,3495,5,1,x,,
Märkisch-Oderland    ,12064380,Petershagen/Eggersdorf       ,10480,5027,544,110,14670,22,5,x,Schill                   ,PA,525,1,0,x,,
Märkisch-Oderland    ,12064380,Petershagen/Eggersdorf       ,10480,5027,544,110,14670,22,5,x,Die Unabhängigen         ,PV,3324,5,1,x,,
Märkisch-Oderland    ,12064388,Podelzig                     ,784,518,0,26,1452,10,3,x,CDU                      ,PA,156,1,0,x,,
Märkisch-Oderland    ,12064388,Podelzig                     ,784,518,0,26,1452,10,3,x,PDS                      ,PA,236,2,1,x,,
Märkisch-Oderland    ,12064388,Podelzig                     ,784,518,0,26,1452,10,3,x,Wählergruppen            ,WG,1060,7,2,x,,
Märkisch-Oderland    ,12064393,Prötzel                      ,927,631,0,29,1780,10,1,x,Wählergruppen            ,WG,1780,10,1,x,,
Märkisch-Oderland    ,12064408,Rehfelde                     ,3723,2099,0,81,5937,16,3,x,CDU                      ,PA,1371,4,1,x,,
Märkisch-Oderland    ,12064408,Rehfelde                     ,3723,2099,0,81,5937,16,3,x,SPD                      ,PA,719,2,0,x,,
Märkisch-Oderland    ,12064408,Rehfelde                     ,3723,2099,0,81,5937,16,3,x,PDS                      ,PA,938,2,1,x,,
Märkisch-Oderland    ,12064408,Rehfelde                     ,3723,2099,0,81,5937,16,3,x,FDP                      ,PA,1011,3,0,x,,
Märkisch-Oderland    ,12064408,Rehfelde                     ,3723,2099,0,81,5937,16,3,x,Wählergruppen            ,WG,1898,5,1,x,,
Märkisch-Oderland    ,12064417,Reichenow-Möglin             ,537,279,0,3,824,8,3,x,Wählergruppen            ,WG,824,8,3,x,,
Märkisch-Oderland    ,12064420,Reitwein                     ,435,312,0,11,878,8,2,x,CDU                      ,PA,48,0,0,x,,
Märkisch-Oderland    ,12064420,Reitwein                     ,435,312,0,11,878,8,2,x,Wählergruppen            ,WG,775,8,2,x,,
Märkisch-Oderland    ,12064420,Reitwein                     ,435,312,0,11,878,8,2,x,Einzelbewerber           ,EB,55,0,0,x,,
Märkisch-Oderland    ,12064428,Rüdersdorf bei Berlin        ,13301,5633,0,205,16019,28,6,x,CDU                      ,PA,4084,7,1,x,,
Märkisch-Oderland    ,12064428,Rüdersdorf bei Berlin        ,13301,5633,0,205,16019,28,6,x,SPD                      ,PA,3575,6,3,x,,
Märkisch-Oderland    ,12064428,Rüdersdorf bei Berlin        ,13301,5633,0,205,16019,28,6,x,PDS                      ,PA,2862,5,0,x,,
Märkisch-Oderland    ,12064428,Rüdersdorf bei Berlin        ,13301,5633,0,205,16019,28,6,x,Wählergruppen            ,WG,2645,4,1,x,,
Märkisch-Oderland    ,12064428,Rüdersdorf bei Berlin        ,13301,5633,0,205,16019,28,6,x,Listenvereinigungen      ,LV,2422,5,1,x,,
Märkisch-Oderland    ,12064428,Rüdersdorf bei Berlin        ,13301,5633,0,205,16019,28,6,x,Einzelbewerber           ,EB,68,0,0,x,,
Märkisch-Oderland    ,12064428,Rüdersdorf bei Berlin        ,13301,5633,0,205,16019,28,6,x,DVU                      ,PA,363,1,0,x,,
Märkisch-Oderland    ,12064448,Seelow                       ,5038,2402,0,113,6839,18,4,x,CDU                      ,PA,1055,3,0,x,,
Märkisch-Oderland    ,12064448,Seelow                       ,5038,2402,0,113,6839,18,4,x,SPD                      ,PA,2752,7,4,x,,
Märkisch-Oderland    ,12064448,Seelow                       ,5038,2402,0,113,6839,18,4,x,PDS                      ,PA,2193,6,0,x,,
Märkisch-Oderland    ,12064448,Seelow                       ,5038,2402,0,113,6839,18,4,x,Listenvereinigungen      ,LV,601,1,0,x,,
Märkisch-Oderland    ,12064448,Seelow                       ,5038,2402,0,113,6839,18,4,x,Schill                   ,PA,238,1,0,x,,
Märkisch-Oderland    ,12064472,Strausberg                   ,22056,8795,14,402,24943,32,10,x,CDU                      ,PA,4499,6,1,x,,
Märkisch-Oderland    ,12064472,Strausberg                   ,22056,8795,14,402,24943,32,10,x,SPD                      ,PA,3192,4,2,x,,
Märkisch-Oderland    ,12064472,Strausberg                   ,22056,8795,14,402,24943,32,10,x,PDS                      ,PA,10451,13,6,x,,
Märkisch-Oderland    ,12064472,Strausberg                   ,22056,8795,14,402,24943,32,10,x,FDP                      ,PA,419,1,0,x,,
Märkisch-Oderland    ,12064472,Strausberg                   ,22056,8795,14,402,24943,32,10,x,GRÜNE/B 90               ,PA,488,1,0,x,,
Märkisch-Oderland    ,12064472,Strausberg                   ,22056,8795,14,402,24943,32,10,x,Wählergruppen            ,WG,4646,6,1,x,,
Märkisch-Oderland    ,12064472,Strausberg                   ,22056,8795,14,402,24943,32,10,x,Einzelbewerber           ,EB,1248,1,0,x,,
Märkisch-Oderland    ,12064480,Treplin                      ,362,278,0,9,793,8,3,x,Wählergruppen            ,WG,793,8,3,x,,
Märkisch-Oderland    ,12064482,Vierlinden                   ,1322,859,0,34,2456,12,5,x,PDS                      ,PA,313,2,2,x,,
Märkisch-Oderland    ,12064482,Vierlinden                   ,1322,859,0,34,2456,12,5,x,Wählergruppen            ,WG,1395,8,3,x,,
Märkisch-Oderland    ,12064482,Vierlinden                   ,1322,859,0,34,2456,12,5,x,Einzelbewerber           ,EB,748,2,0,x,,
Märkisch-Oderland    ,12064484,Waldsieversdorf              ,726,462,0,20,1310,10,2,x,SPD                      ,PA,46,0,0,x,,
Märkisch-Oderland    ,12064484,Waldsieversdorf              ,726,462,0,20,1310,10,2,x,Wählergruppen            ,WG,594,5,0,x,,
Märkisch-Oderland    ,12064484,Waldsieversdorf              ,726,462,0,20,1310,10,2,x,Einzelbewerber           ,EB,670,5,2,x,,
Märkisch-Oderland    ,12064512,Wriezen                      ,6778,2611,0,128,7353,18,2,x,CDU                      ,PA,1569,4,0,x,,
Märkisch-Oderland    ,12064512,Wriezen                      ,6778,2611,0,128,7353,18,2,x,SPD                      ,PA,802,2,1,x,,
Märkisch-Oderland    ,12064512,Wriezen                      ,6778,2611,0,128,7353,18,2,x,PDS                      ,PA,827,2,0,x,,
Märkisch-Oderland    ,12064512,Wriezen                      ,6778,2611,0,128,7353,18,2,x,FDP                      ,PA,1325,3,0,x,,
Märkisch-Oderland    ,12064512,Wriezen                      ,6778,2611,0,128,7353,18,2,x,GRÜNE/B 90               ,PA,104,0,0,x,,
Märkisch-Oderland    ,12064512,Wriezen                      ,6778,2611,0,128,7353,18,2,x,Wählergruppen            ,WG,2726,7,1,x,,
Märkisch-Oderland    ,12064538,Zechin                       ,673,310,0,8,889,10,4,x,FDP                      ,PA,33,0,0,x,,
Märkisch-Oderland    ,12064538,Zechin                       ,673,310,0,8,889,10,4,x,Wählergruppen            ,WG,856,10,4,x,,
Märkisch-Oderland    ,12064539,Zeschdorf                    ,1184,669,0,20,1910,10,3,x,CDU                      ,PA,334,2,0,x,,
Märkisch-Oderland    ,12064539,Zeschdorf                    ,1184,669,0,20,1910,10,3,x,SPD                      ,PA,270,1,1,x,,
Märkisch-Oderland    ,12064539,Zeschdorf                    ,1184,669,0,20,1910,10,3,x,PDS                      ,PA,591,3,1,x,,
Märkisch-Oderland    ,12064539,Zeschdorf                    ,1184,669,0,20,1910,10,3,x,FDP                      ,PA,288,2,1,x,,
Märkisch-Oderland    ,12064539,Zeschdorf                    ,1184,669,0,20,1910,10,3,x,Wählergruppen            ,WG,200,1,0,x,,
Märkisch-Oderland    ,12064539,Zeschdorf                    ,1184,669,0,20,1910,10,3,x,Einzelbewerber           ,EB,227,1,0,x,,
Oberhavel            ,12065036,Birkenwerder                 ,5620,2785,0,73,8085,18,5,x,CDU                      ,PA,2196,5,0,x,,
Oberhavel            ,12065036,Birkenwerder                 ,5620,2785,0,73,8085,18,5,x,SPD                      ,PA,1929,4,2,x,,
Oberhavel            ,12065036,Birkenwerder                 ,5620,2785,0,73,8085,18,5,x,PDS                      ,PA,1699,4,1,x,,
Oberhavel            ,12065036,Birkenwerder                 ,5620,2785,0,73,8085,18,5,x,FDP                      ,PA,433,1,1,x,,
Oberhavel            ,12065036,Birkenwerder                 ,5620,2785,0,73,8085,18,5,x,Wählergruppen            ,WG,1828,4,1,x,,
Oberhavel            ,12065084,Fürstenberg/Havel            ,5850,3449,0,107,9618,18,3,x,CDU                      ,PA,2215,4,0,x,,
Oberhavel            ,12065084,Fürstenberg/Havel            ,5850,3449,0,107,9618,18,3,x,SPD                      ,PA,1679,3,0,x,,
Oberhavel            ,12065084,Fürstenberg/Havel            ,5850,3449,0,107,9618,18,3,x,PDS                      ,PA,771,1,0,x,,
Oberhavel            ,12065084,Fürstenberg/Havel            ,5850,3449,0,107,9618,18,3,x,FDP                      ,PA,516,1,0,x,,
Oberhavel            ,12065084,Fürstenberg/Havel            ,5850,3449,0,107,9618,18,3,x,Wählergruppen            ,WG,3111,6,2,x,,
Oberhavel            ,12065084,Fürstenberg/Havel            ,5850,3449,0,107,9618,18,3,x,Einzelbewerber           ,EB,1326,3,1,x,,
Oberhavel            ,12065096,Glienicke/Nordbahn           ,7134,3595,447,85,10344,18,3,x,CDU                      ,PA,2992,5,0,x,,
Oberhavel            ,12065096,Glienicke/Nordbahn           ,7134,3595,447,85,10344,18,3,x,SPD                      ,PA,2786,5,2,x,,
Oberhavel            ,12065096,Glienicke/Nordbahn           ,7134,3595,447,85,10344,18,3,x,PDS                      ,PA,1409,3,1,x,,
Oberhavel            ,12065096,Glienicke/Nordbahn           ,7134,3595,447,85,10344,18,3,x,FDP                      ,PA,816,1,0,x,,
Oberhavel            ,12065096,Glienicke/Nordbahn           ,7134,3595,447,85,10344,18,3,x,Listenvereinigungen      ,LV,2341,4,0,x,,
Oberhavel            ,12065100,Gransee                      ,5454,2229,0,111,6179,24,7,x,CDU                      ,PA,1531,6,2,x,,
Oberhavel            ,12065100,Gransee                      ,5454,2229,0,111,6179,24,7,x,SPD                      ,PA,1866,7,1,x,,
Oberhavel            ,12065100,Gransee                      ,5454,2229,0,111,6179,24,7,x,PDS                      ,PA,1429,6,3,x,,
Oberhavel            ,12065100,Gransee                      ,5454,2229,0,111,6179,24,7,x,Wählergruppen            ,WG,1353,5,1,x,,
Oberhavel            ,12065117,Großwoltersdorf              ,776,471,0,38,1279,10,2,x,CDU                      ,PA,253,2,0,x,,
Oberhavel            ,12065117,Großwoltersdorf              ,776,471,0,38,1279,10,2,x,Wählergruppen            ,WG,1026,8,2,x,,
Oberhavel            ,12065136,Hennigsdorf                  ,21813,8956,0,91,26557,32,7,x,CDU                      ,PA,6148,7,0,x,,
Oberhavel            ,12065136,Hennigsdorf                  ,21813,8956,0,91,26557,32,7,x,SPD                      ,PA,9393,11,1,x,,
Oberhavel            ,12065136,Hennigsdorf                  ,21813,8956,0,91,26557,32,7,x,PDS                      ,PA,4581,6,4,x,,
Oberhavel            ,12065136,Hennigsdorf                  ,21813,8956,0,91,26557,32,7,x,FDP                      ,PA,1173,2,0,x,,
