City,Year,Average,Air Quality Station Type
Berlin,1994,41.778571428571425,Background
Berlin,1994,48.178,Industrial
Berlin,1995,25.569,Traffic
Berlin,1995,38.264428571428574,Background
Berlin,1995,47.327,Industrial
Berlin,1996,24.5855,Traffic
Berlin,1996,37.61555555555556,Background
Berlin,1996,46.393,Industrial
Berlin,1997,28.666999999999998,Traffic
Berlin,1997,41.85344444444444,Background
Berlin,1997,49.222,Industrial
Berlin,1998,28.1005,Traffic
Berlin,1998,40.688,Background
Berlin,1998,46.007,Industrial
Berlin,1999,27.794,Traffic
Berlin,1999,42.480444444444444,Background
Berlin,1999,49.652,Industrial
Berlin,2000,28.506,Traffic
Berlin,2000,41.716571428571434,Background
Berlin,2000,50.476,Industrial
Berlin,2001,30.134,Traffic
Berlin,2001,40.48728571428571,Background
Berlin,2001,47.835,Industrial
Berlin,2002,34.6375,Traffic
Berlin,2002,43.411142857142856,Background
Berlin,2002,50.286,Industrial
Berlin,2003,35.2515,Traffic
Berlin,2003,47.67057142857142,Background
Berlin,2003,52.91,Industrial
Berlin,2004,31.407,Traffic
Berlin,2004,43.42314285714285,Background
Berlin,2004,47.043,Industrial
Berlin,2005,33.76,Traffic
Berlin,2005,44.702285714285715,Background
Berlin,2005,47.914,Industrial
Berlin,2006,47.404999999999994,Background
Berlin,2006,53.001,Industrial
Berlin,2007,44.936571428571426,Background
