Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;DIE LINKE;SPD;FDP;GRÜNE;NPD;DIE GRAUEN;REP;Adomeit;AWK;"BfL";RP;Agrarb�ndnis;AfR;APD;AUFBRUCH 09;AUF;Bauernverband;Bv;BBLR;BFR;BsG;BfB;BfS;BB UER;BfP;BG;FORUM;Freie  W�hler;Freie W�hler;FWG;FWG Niepars;F�R Rostock - pro OB;Haus und Grund Rostock;IfA;MUG;Rostocker Bund;SAV;UB;UBL 94;UWG;WG Bv-L�ndlicher Raum;Bauern;WG;WGW;WIK;WGK;KL;WGLR;WPL;WG Prohn;WG SVS 93;WIP;Einzelbewerber;
P;53;G�strow;5312;Gnoien;13053020;Finkenthal;1;1;254;161;63,4;5,7;94,3;33,6;7,4;31,6;9,6;4,7;3,4;x;x;x;x;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x;x;x;x;x;0,7;8,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,9;
A;53;G�strow;5312;Gnoien;13053022;Gnoien, Stadt;5;5;2837;1106;39,0;111;3056;1028;362;1027;169;25;192;x;x;x;x;x;x;x;x;x;x;12;x;x;x;x;x;x;x;x;x;x;x;x;35;160;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;46;
P;53;G�strow;5312;Gnoien;13053022;Gnoien, Stadt;5;5;2837;1106;39,0;3,5;96,5;33,6;11,8;33,6;5,5;0,8;6,3;x;x;x;x;x;x;x;x;x;x;0,4;x;x;x;x;x;x;x;x;x;x;x;x;1,1;5,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,5;
A;53;G�strow;5312;Gnoien;13053056;L�hburg;1;1;213;130;61,0;6;364;83;67;119;19;9;26;x;x;x;x;x;x;x;x;x;x;7;x;x;x;x;x;x;x;x;x;x;x;x;7;11;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;16;
P;53;G�strow;5312;Gnoien;13053056;L�hburg;1;1;213;130;61,0;1,6;98,4;22,8;18,4;32,7;5,2;2,5;7,1;x;x;x;x;x;x;x;x;x;x;1,9;x;x;x;x;x;x;x;x;x;x;x;x;1,9;3,0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;4,4;
A;53;G�strow;5312;Gnoien;13053091;Walkendorf;1;1;433;201;46,4;21;569;206;95;147;20;25;5;x;x;x;x;x;x;x;x;x;x;6;x;x;x;x;x;x;x;x;x;x;x;x;20;22;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;23;
P;53;G�strow;5312;Gnoien;13053091;Walkendorf;1;1;433;201;46,4;3,6;96,4;36,2;16,7;25,8;3,5;4,4;0,9;x;x;x;x;x;x;x;x;x;x;1,1;x;x;x;x;x;x;x;x;x;x;x;x;3,5;3,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;4,0;
A;53;G�strow;5312;Gnoien;13053095;Wasdow;1;1;329;174;52,9;33;479;203;62;97;20;4;52;x;x;x;x;x;x;x;x;x;x;1;x;x;x;x;x;x;x;x;x;x;x;x;12;11;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;17;
P;53;G�strow;5312;Gnoien;13053095;Wasdow;1;1;329;174;52,9;6,4;93,6;42,4;12,9;20,3;4,2;0,8;10,9;x;x;x;x;x;x;x;x;x;x;0,2;x;x;x;x;x;x;x;x;x;x;x;x;2,5;2,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3,5;
A;53;G�strow;5313;G�strow-Land;13053021;Glasewitz;1;1;417;156;37,4;11;432;134;67;104;35;15;23;x;x;x;x;x;x;x;x;x;x;22;x;x;x;x;x;x;x;x;x;x;x;x;16;12;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;4;
