Berechnungsdatum;Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;SPD;DIE LINKE;GRÜNE;NPD;FDP;PIRATEN;AUF;RENTNER;[ASK];AB gegen WK- Ausbau;AWD;Allianz Bauern u. LR;AfD;AfL;AL;AUFBRUCH 09;Bauernverband;BFR;B�rger f�r Stralsund;BBG;BG;Freie W�hler LUP;Freie W�hler MSP;Freie W�hler LRO;Freie W�hler NWM;GRAUE;KfV;LUL;UB;UFR;UBL 94;Rostocker Bund;WG BV-LR;WGB;WG B;WGW;WGLR;WG Upahl-Hanshagen;WG "W�bbelin";Adomeit;WIR;Einzelbewerber
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5152;Friedland;13071037;Galenbeck;3;3;1042;556;53,4;2,9;97,1;34,3;31,5;17,3;2,4;6,9;1,6;1,9;x;x;x;0,6;x;x;2,1;x;x;x;x;x;x;x;x;x;1,1;x;x;x;x;x;x;x;x;x;x;x;x;x;0,4;x;x;x;x;0,0
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5152;Friedland;13071038;Genzkow;1;1;118;74;62,7;3;218;116;16;57;5;14;0;1;x;x;x;1;x;x;8;x;x;x;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x;x;x;x;x;x;0;x;x;x;x;0
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5152;Friedland;13071038;Genzkow;1;1;118;74;62,7;1,4;98,6;53,2;7,3;26,1;2,3;6,4;0,0;0,5;x;x;x;0,5;x;x;3,7;x;x;x;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x;x;x;x;x;x;0,0;x;x;x;x;0,0
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071007;Basedow;1;1;609;339;55,7;48;938;301;186;173;28;25;54;3;x;x;x;2;x;x;30;x;x;x;x;x;x;x;x;x;45;x;x;x;x;x;x;x;x;x;x;x;x;x;89;x;x;x;x;2
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071007;Basedow;1;1;609;339;55,7;4,9;95,1;32,1;19,8;18,4;3,0;2,7;5,8;0,3;x;x;x;0,2;x;x;3,2;x;x;x;x;x;x;x;x;x;4,8;x;x;x;x;x;x;x;x;x;x;x;x;x;9,5;x;x;x;x;0,2
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071030;Duckow;1;1;204;116;56,9;15;330;156;20;70;12;22;12;8;x;x;x;2;x;x;11;x;x;x;x;x;x;x;x;x;10;x;x;x;x;x;x;x;x;x;x;x;x;x;7;x;x;x;x;0
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071030;Duckow;1;1;204;116;56,9;4,3;95,7;47,3;6,1;21,2;3,6;6,7;3,6;2,4;x;x;x;0,6;x;x;3,3;x;x;x;x;x;x;x;x;x;3,0;x;x;x;x;x;x;x;x;x;x;x;x;x;2,1;x;x;x;x;0,0
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071032;Faulenrost;1;1;570;324;56,8;51;884;491;113;133;18;25;18;9;x;x;x;0;x;x;19;x;x;x;x;x;x;x;x;x;28;x;x;x;x;x;x;x;x;x;x;x;x;x;30;x;x;x;x;0
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071032;Faulenrost;1;1;570;324;56,8;5,5;94,5;55,5;12,8;15,0;2,0;2,8;2,0;1,0;x;x;x;0,0;x;x;2,1;x;x;x;x;x;x;x;x;x;3,2;x;x;x;x;x;x;x;x;x;x;x;x;x;3,4;x;x;x;x;0,0
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071039;Gielow;1;1;990;665;67,2;105;1853;737;255;263;25;61;72;8;x;x;x;4;x;x;58;x;x;x;x;x;x;x;x;x;285;x;x;x;x;x;x;x;x;x;x;x;x;x;81;x;x;x;x;4
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071039;Gielow;1;1;990;665;67,2;5,4;94,6;39,8;13,8;14,2;1,3;3,3;3,9;0,4;x;x;x;0,2;x;x;3,1;x;x;x;x;x;x;x;x;x;15,4;x;x;x;x;x;x;x;x;x;x;x;x;x;4,4;x;x;x;x;0,2
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071084;Kummerow;1;1;518;300;57,9;45;841;349;114;169;22;18;31;6;x;x;x;7;x;x;13;x;x;x;x;x;x;x;x;x;55;x;x;x;x;x;x;x;x;x;x;x;x;x;56;x;x;x;x;1
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071084;Kummerow;1;1;518;300;57,9;5,1;94,9;41,5;13,6;20,1;2,6;2,1;3,7;0,7;x;x;x;0,8;x;x;1,5;x;x;x;x;x;x;x;x;x;6,5;x;x;x;x;x;x;x;x;x;x;x;x;x;6,7;x;x;x;x;0,1
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071092;Malchin, Stadt;9;9;6714;2525;37,6;165;7270;2486;1313;1575;134;261;398;35;x;x;x;60;x;x;196;x;x;x;x;x;x;x;x;x;426;x;x;x;x;x;x;x;x;x;x;x;x;x;381;x;x;x;x;5
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071092;Malchin, Stadt;9;9;6714;2525;37,6;2,2;97,8;34,2;18,1;21,7;1,8;3,6;5,5;0,5;x;x;x;0,8;x;x;2,7;x;x;x;x;x;x;x;x;x;5,9;x;x;x;x;x;x;x;x;x;x;x;x;x;5,2;x;x;x;x;0,1
