Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City
DEBW014,SO2,1990,95.75,ug/m3,Industrial,suburban,BW,Stuttgart,Stuttgart
DEBY039,SO2,1990,61.333,ug/m3,Background,urban,BY,München (Kreisfreie Stadt),München
DEBY039,SO2,1990,85.0,ug/m3,Background,urban,BY,München (Kreisfreie Stadt),München
DEBW014,NO2,1990,108.7,ug/m3,Industrial,suburban,BW,Stuttgart,Stuttgart
DEBW014,NO2,1990,0.0,count,Industrial,suburban,BW,Stuttgart,Stuttgart
DEBY059,NO2,1990,0.0,count,Traffic,urban,BY,Nürnberg,Nürnberg
DEBY040,SO2,1990,14.0,ug/m3,Traffic,urban,BY,München (Kreisfreie Stadt),München
DEBY061,SO2,1990,84.0,ug/m3,Traffic,urban,BY,Passau (Kreisfreie Stadt),Passau
DEBE025,SO2,1990,20.0,count,Background,suburban,BE,Berlin,Berlin
DEBY061,O3,1990,70.5,ug/m3,Traffic,urban,BY,Passau (Kreisfreie Stadt),Passau
DEBY041,SO2,1990,6.0,ug/m3,Background,urban,BY,München (Kreisfreie Stadt),München
DEBE026,SO2,1990,298.0,ug/m3,Industrial,rural,BE,Berlin,Berlin
DEBW002,NO2,1990,47.259,ug/m3,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
DEBW032,O3,1990,122.206,ug/m3,Background,urban,BW,Pforzheim,Pforzheim
DEBY045,NO2,1990,186.348,ug/m3,Traffic,urban,BY,München (Kreisfreie Stadt),München
DEBE032,SO2,1990,217.043,ug/m3,Background,rural,BE,Berlin,Berlin
DEBE033,SO2,1990,22.0,ug/m3,Industrial,urban,BE,Berlin,Berlin
DEBW083,O3,1990,53.335,ug/m3,Traffic,urban,BW,Freiburg im Breisgau,Freiburg im Breisgau
DEBE033,NO2,1990,1.0,count,Industrial,urban,BE,Berlin,Berlin
DEBY040,NO2,1990,61.302,ug/m3,Traffic,urban,BY,München (Kreisfreie Stadt),München
DEBY040,NO2,1990,59.958,ug/m3,Traffic,urban,BY,München (Kreisfreie Stadt),München
DEBY041,SO2,1990,9.681,ug/m3,Background,urban,BY,München (Kreisfreie Stadt),München
DEBY043,SO2,1990,0.0,count,Traffic,urban,BY,München (Kreisfreie Stadt),München
DEBY044,SO2,1990,7.917,ug/m3,Background,urban,BY,München (Kreisfreie Stadt),München
DEBY044,SO2,1990,125.0,ug/m3,Background,urban,BY,München (Kreisfreie Stadt),München
DEBY045,SO2,1990,0.0,count,Traffic,urban,BY,München (Kreisfreie Stadt),München
DEBY045,SO2,1990,0.0,count,Traffic,urban,BY,München (Kreisfreie Stadt),München
DEHE021,O3,1990,15.0,count,Traffic,urban,HE,Wiesbaden,Wiesbaden
DEHH012,SO2,1990,4.0,count,Background,suburban,HH,Hamburg,Hamburg
DEHH014,SO2,1990,228.0,ug/m3,Background,urban,HH,Hamburg,Hamburg
DEHH014,NO2,1990,0.0,count,Background,urban,HH,Hamburg,Hamburg
DEHH018,SO2,1990,1.0,count,Background,suburban,HH,Hamburg,Hamburg
DEBY061,O3,1990,57.625,ug/m3,Traffic,urban,BY,Passau (Kreisfreie Stadt),Passau
DEBY061,O3,1990,136.0,ug/m3,Traffic,urban,BY,Passau (Kreisfreie Stadt),Passau
DEHE007,SO2,1990,79.659,ug/m3,Traffic,urban,HE,Frankfurt am Main,Frankfurt am Main
DEHE007,SO2,1990,13.438,ug/m3,Traffic,urban,HE,Frankfurt am Main,Frankfurt am Main
DEBW011,SO2,1990,18.069,ug/m3,Traffic,urban,BW,Stuttgart,Stuttgart
DEBW011,SO2,1990,99.076,ug/m3,Traffic,urban,BW,Stuttgart,Stuttgart
DEHE007,O3,1990,16.522,ug/m3,Traffic,urban,HE,Frankfurt am Main,Frankfurt am Main
DEBE001,SO2,1990,19.0,count,Background,suburban,BE,Berlin,Berlin
DEBE004,SO2,1990,10.0,count,Background,rural,BE,Berlin,Berlin
DEBE005,SO2,1990,27.0,count,Background,suburban,BE,Berlin,Berlin
DEBW032,NO2,1990,100.476,ug/m3,Background,urban,BW,Pforzheim,Pforzheim
DEBW012,O3,1990,35.78,ug/m3,Background,urban,BW,Stuttgart,Stuttgart
DEBW012,O3,1990,19.0,count,Background,urban,BW,Stuttgart,Stuttgart
DEBW009,SO2,1990,0.0,count,Traffic,urban,BW,Heidelberg,Heidelberg
DEHE010,NO2,1990,42.319,ug/m3,Background,urban,HE,Gießen,Gießen
DEBW002,SO2,1990,65.73,ug/m3,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
DEBW002,SO2,1990,20.128,ug/m3,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
DEBW002,O3,1990,180.1,ug/m3,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
DEBW002,O3,1990,20.35,ug/m3,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
DEBW012,SO2,1990,92.35,ug/m3,Background,urban,BW,Stuttgart,Stuttgart
DEBW002,NO2,1990,217.5,ug/m3,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
DEHE014,NO2,1990,107.0,ug/m3,Traffic,urban,HE,Kassel (Kreisfreie Stadt),Kassel
DEBW024,SO2,1990,84.039,ug/m3,Background,suburban,BW,Ludwigsburg,Ludwigsburg
DEBY040,NO2,1990,384.0,ug/m3,Traffic,urban,BY,München (Kreisfreie Stadt),München
DEBW025,O3,1990,114.314,ug/m3,Background,urban,BW,Esslingen,Esslingen am Neckar
DEBY041,SO2,1990,0.0,count,Background,urban,BY,München (Kreisfreie Stadt),München
DEBY043,SO2,1990,88.0,ug/m3,Traffic,urban,BY,München (Kreisfreie Stadt),München
DEBY003,SO2,1990,68.833,ug/m3,Background,urban,BY,Aschaffenburg (Kreisfreie Stadt),Aschaffenburg
DEBY054,SO2,1990,118.333,ug/m3,Traffic,urban,BY,Nürnberg,Nürnberg
DEBY054,SO2,1990,0.0,count,Traffic,urban,BY,Nürnberg,Nürnberg
DEBW012,O3,1990,3547.0,ug/m3,Background,urban,BW,Stuttgart,Stuttgart
DEBW032,SO2,1990,67.311,ug/m3,Background,urban,BW,Pforzheim,Pforzheim
DEBW012,NO2,1990,48.586,ug/m3,Background,urban,BW,Stuttgart,Stuttgart
DEBW012,NO2,1990,114.604,ug/m3,Background,urban,BW,Stuttgart,Stuttgart
DEBY055,SO2,1990,9.0,ug/m3,Industrial,urban,BY,Nürnberg,Nürnberg
DEBY045,NO2,1990,278.0,ug/m3,Traffic,urban,BY,München (Kreisfreie Stadt),München
DEBW032,O3,1990,30.85,ug/m3,Background,urban,BW,Pforzheim,Pforzheim
DEBW032,NO2,1990,44.325,ug/m3,Background,urban,BW,Pforzheim,Pforzheim
DEBW032,NO2,1990,174.95,ug/m3,Background,urban,BW,Pforzheim,Pforzheim
DEBW014,O3,1990,30259.0,ug/m3,Industrial,suburban,BW,Stuttgart,Stuttgart
DEBW014,O3,1990,42.0,count,Industrial,suburban,BW,Stuttgart,Stuttgart
DEBW014,O3,1990,8293.0,ug/m3,Industrial,suburban,BW,Stuttgart,Stuttgart
DEHH018,NO2,1990,206.0,ug/m3,Background,suburban,HH,Hamburg,Hamburg
DEHH019,SO2,1990,0.0,count,Industrial,urban,HH,Hamburg,Hamburg
DEHH019,NO2,1990,81.565,ug/m3,Industrial,urban,HH,Hamburg,Hamburg
