City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others
Uetze,NI,2006,0,5.7,45.2,3.8,39.6,0,5.7
Wunstorf,NI,2006,0,6.8,44.5,7.6,38.3,0,2.7
Stuhr,NI,2006,0,8.8,33.7,11.1,41.0,0,5.5
Syke,NI,2006,0,7.5,38.6,10.1,29.6,0,14.1
Weyhe,NI,2006,0,12.2,50.3,10.2,27.4,0,0
Hameln,NI,2006,0,9.8,32.6,8.7,31.9,0,17.0
Hildesheim,NI,2006,0,10.8,30.0,4.3,32.0,0,22.9
Holzminden,NI,2006,0,7.0,38.6,8.1,40.2,0,6.1
Rinteln,NI,2006,0,4.8,47.2,3.2,34.3,0,10.5
Stadthagen,NI,2006,0,6.0,44.4,5.0,36.7,0,7.9
Lüneburg.Celle,NI,2006,0,4.9,30.3,8.7,44.6,0,11.5
Celle,NI,2006,0,8.9,30.6,12.4,41.3,0,6.8
Cuxhaven,NI,2006,0,7.2,34.4,6.8,40.4,0,11.2
Geestland,NI,2006,0,3.7,32.0,1.2,49.3,0,13.8
Neu Wulmstorf,NI,2006,0,5.5,32.1,11.3,34.4,0,16.6
Seevetal,NI,2006,0,6.9,32.4,8.0,42.4,0,10.2
Winsen (Luhe),NI,2006,0,7.6,23.8,6.8,38.0,0,23.9
Lüneburg,NI,2006,4.3,18.1,40.9,7.0,28.4,0,5.7
Lilienthal,NI,2006,0,17.5,27.9,14.8,35.9,0,4.0
Osterholz-Scharmbeck,NI,2006,0,5.8,49.0,3.9,30.0,0,11.3
Schwanewede,NI,2006,0,5.9,48.8,5.0,28.9,0,11.4
Rotenburg (Wümme),NI,2006,0,12.1,30.5,7.3,46.8,0,3.2
Soltau,NI,2006,0,5.1,31.4,6.4,35.0,0,22.0
Walsrode,NI,2006,0,6.0,36.9,4.7,39.3,0,13.0
Buxtehude,NI,2006,3.4,7.3,37.9,8.1,36.5,0,10.1
Stade,NI,2006,0,8.8,38.0,4.5,39.1,0,9.6
Uelzen,NI,2006,0,6.9,47.3,4.4,40.0,0,1.4
Achim,NI,2006,0,10.6,39.4,5.6,34.2,0,10.2
Verden (Aller),NI,2006,0,9.2,38.5,12.3,33.8,0,6.2
Bad Zwischenahn,NI,2006,0,5.9,35.0,8.3,41.8,0,9.0
Edewecht,NI,2006,0,5.8,37.5,8.4,42.8,0,5.5
Rastede,NI,2006,0,10.2,31.5,6.0,43.2,0,9.1
